datetime,avg_temp,dew,humidity,sealevelpressure,winddir,solarradiation,windspeed,precipprob,preciptype,max_temperature,Intensity,region,Flood Risk
01-01-2016,28.4,11.9,37.8,1016.4,147.5,216.1,16.6,0,0,33.56639862,0,Mumbai,0
02-01-2016,26.8,13,44.8,1017.2,110.3,215.7,16.6,0,0,32.8688736,0,Mumbai,0
03-01-2016,25.5,14.6,52.8,1015.7,145.3,221.1,18.4,0,0,31.96239662,0,Mumbai,0
04-01-2016,26.4,13.1,46.6,1015.3,126.9,216.2,16.6,0,0,32.091362,0,Mumbai,0
05-01-2016,27.1,13.5,44.9,1014.4,125.5,208.1,16.6,0,0,32.48462677,0,Mumbai,0
06-01-2016,26.9,14.3,48.2,1014.2,110.2,200.8,14.8,0,0,31.76092339,0,Mumbai,0
07-01-2016,26.1,17,58,1015.1,149.4,189.9,15.8,0,0,31.42749786,0,Mumbai,0
08-01-2016,26.6,16.5,55.2,1015.4,157.7,185,13,0,0,31.5493412,0,Mumbai,0
09-01-2016,26.3,13.5,47.6,1013.8,117.5,203.1,16.6,0,0,31.33654022,0,Mumbai,0
10-01-2016,26,12.5,45.3,1014.2,124.7,203.7,16.6,0,0,31.01058197,0,Mumbai,0
11-01-2016,26.1,14.6,50.4,1014.3,153.7,212.6,24.1,0,0,31.47736359,0,Mumbai,0
12-01-2016,25.1,17.5,64.5,1013.1,200.7,201.9,16.6,0,0,30.11237526,0,Mumbai,0
13-01-2016,24.6,17,64,1012.5,195.6,211.4,16.6,0,0,29.31659698,0,Mumbai,0
14-01-2016,23.9,16.5,64.2,1012.6,158.4,209.6,25.9,0,0,29.39814758,0,Mumbai,0
15-01-2016,23.6,16.3,64.8,1012.3,193.9,210.8,16.6,0,0,28.84276581,0,Mumbai,0
16-01-2016,24.1,15.7,60.7,1011.8,162.5,201.5,13,100,1,28.86065483,0,Mumbai,0
17-01-2016,24,14.7,58.3,1011.6,154.6,187.2,16.6,0,0,29.08739281,0,Mumbai,0
18-01-2016,23.7,14.4,58.2,1011.2,141.4,220.5,16.6,0,0,28.98493958,0,Mumbai,0
19-01-2016,23.5,10.3,45.8,1012.1,180.5,228,20.5,0,0,28.54035378,0,Mumbai,0
20-01-2016,23.2,8.6,41.5,1014,155.7,239.6,32.4,0,0,28.23077774,0,Mumbai,0
21-01-2016,23.9,9.2,41.5,1014.5,120.7,232.8,18.4,0,0,29.34497452,0,Mumbai,0
22-01-2016,25.6,7.2,32.2,1014.5,128.9,234.9,18.4,0,0,30.29044151,0,Mumbai,0
23-01-2016,25.9,9.1,36.4,1014.5,115,224.2,18.4,0,0,31.61744881,0,Mumbai,0
24-01-2016,26.7,11.2,39.8,1014.5,172.7,220.8,18.4,0,0,31.70951462,0,Mumbai,0
25-01-2016,25.2,11.7,45.3,1013.7,166.1,242.7,18.4,0,0,30.77971649,0,Mumbai,0
26-01-2016,23.8,12,49.7,1013.4,174.1,239.5,22.3,0,0,30.08574486,0,Mumbai,0
27-01-2016,23.7,16.1,64.4,1013.8,208.5,240.8,18.4,0,0,30.54624557,0,Mumbai,0
28-01-2016,25.1,15.4,57,1013.2,165.7,240.4,14.8,0,0,31.66361618,0,Mumbai,0
29-01-2016,26.5,16.6,57.2,1014.2,155.9,237.3,18.4,0,0,32.44689178,0,Mumbai,0
30-01-2016,26.8,17.9,59.5,1014.2,230.7,235.6,16.6,0,0,32.01882935,0,Mumbai,0
